id,cluster
FKID001054,2
FKID001061,7
FKID001066,-1
FKID001067,-1
FKID001068,-1
FKID001069,-1
FKID001070,2
FKID001071,-1
FKID001076,2
FKID001077,2
FKID001078,6
FKID001080,-1
FKID001081,-1
FKID001082,2
FKID001083,-1
FKID001084,-1
FKID001085,-1
FKID001086,-1
FKID001087,-1
FKID001090,2
FKID001091,2
FKID001099,2
FKID001104,0
FKID001105,2
FKID001107,0
FKID001108,2
FKID001109,2
FKID001111,2
FKID001113,2
FKID001119,-1
FKID001120,0
FKID001121,-1
FKID001122,0
FKID001123,-1
FKID001124,0
FKID001125,0
FKID001126,-1
FKID001127,-1
FKID001129,-1
FKID001130,-1
FKID001131,1
FKID001132,1
FKID001133,1
FKID001134,4
FKID001135,4
FKID001136,0
FKID001137,4
FKID001138,0
FKID001139,4
FKID001140,1
FKID001141,0
FKID001143,0
FKID001147,0
FKID001148,-1
FKID001149,0
FKID001150,-1
FKID001151,2
FKID001152,2
FKID001153,4
FKID001154,4
FKID001155,4
FKID001156,2
FKID001159,-1
FKID001161,2
FKID001162,0
FKID001163,0
FKID001164,0
FKID001165,-1
FKID001167,-1
FKID001169,2
FKID001170,-1
FKID001172,-1
FKID001173,0
FKID001174,0
FKID001175,-1
FKID001176,-1
FKID001177,-1
FKID001178,0
FKID001179,0
FKID001185,2
FKID001186,-1
FKID001188,5
FKID001189,2
FKID001190,-1
FKID001191,4
FKID001193,-1
FKID001194,-1
FKID001195,-1
FKID001196,5
FKID001197,5
FKID001198,5
FKID001199,-1
FKID001200,3
FKID001201,-1
FKID001203,3
FKID001204,3
FKID001205,1
FKID001206,1
FKID001208,1
FKID001209,1
FKID001210,1
FKID001211,1
FKID001212,-1
FKID001213,1
FKID001214,1
FKID001218,-1
FKID001219,-1
FKID001223,-1
FKID001224,-1
FKID001227,-1
FKID001228,-1
FKID001229,-1
FKID001230,-1
FKID001231,-1
FKID001235,-1
FKID001236,-1
FKID001237,-1
FKID001239,-1
FKID001240,-1
FKID001241,-1
FKID001243,-1
FKID001244,3
FKID001245,3
FKID001246,3
FKID001247,-1
FKID001249,-1
FKID001251,0
FKID001252,0
FKID001253,0
FKID001254,6
FKID001255,0
FKID001256,-1
FKID001259,-1
FKID001260,3
FKID001261,3
FKID001262,3
FKID001265,0
FKID001266,7
FKID001267,3
FKID001268,3
FKID001269,0
FKID001270,3
FKID001271,2
FKID001274,3
FKID001275,3
FKID001276,2
FKID001278,-1
FKID001280,3
FKID001293,2
FKID001294,-1
FKID001295,2
FKID001297,2
FKID001298,2
FKID001299,-1
FKID001300,2
FKID001301,2
FKID001302,-1
FKID001303,2
FKID001305,3
FKID001307,2
FKID001308,-1
FKID001309,3
FKID001310,3
FKID001313,3
FKID001315,3
FKID001316,-1
FKID001322,0
FKID001323,0
FKID001324,0
FKID001326,0
FKID001328,0
FKID001329,0
FKID001330,0
FKID001332,0
FKID001335,0
FKID001339,2
FKID001341,3
FKID001342,-1
FKID001343,-1
FKID001344,3
FKID001345,-1
FKID001346,-1
FKID001348,-1
FKID001349,2
FKID001350,2
FKID001351,2
FKID001352,2
FKID001353,2
FKID001354,3
FKID001355,3
FKID001356,3
FKID001359,-1
FKID001362,3
FKID001364,-1
FKID001370,-1
FKID001371,-1
FKID001372,-1
FKID001376,-1
FKID001379,2
FKID001380,2
FKID001382,-1
FKID001383,3
FKID001385,-1
FKID001388,6
FKID001393,-1
FKID001394,6
FKID001395,-1
FKID001396,-1
FKID001406,-1
FKID001410,-1
FKID001413,2
FKID001414,-1
FKID001415,6
FKID001416,-1
FKID001420,3
FKID001421,3
FKID001423,3
FKID001424,3
FKID001425,2
FKID001426,6
FKID001427,3
FKID001428,3
FKID001429,3
FKID001432,3
FKID001438,-1
FKID001439,3
FKID001441,3
FKID001442,3
FKID001443,3
FKID001445,-1
FKID001447,2
FKID001449,3
FKID001451,-1
FKID001452,-1
FKID001453,-1
FKID001455,3
FKID001456,3
FKID001457,3
FKID001458,3
FKID001460,2
FKID001461,3
FKID001463,3
FKID001464,-1
FKID001465,3
FKID001466,3
FKID001467,3
FKID001468,6
FKID001469,2
FKID001470,3
FKID001472,3
FKID001473,3
FKID001478,6
FKID001479,3
FKID001480,3
FKID001482,3
FKID001483,-1
FKID001484,-1
FKID001485,-1
FKID001486,-1
FKID001487,-1
FKID001491,3
FKID001492,3
FKID001493,-1
FKID001495,-1
FKID001496,2
FKID001499,-1
FKID001500,-1
FKID001501,4
FKID001502,-1
FKID001505,-1
FKID001507,-1
FKID001511,-1
FKID001513,-1
FKID001514,-1
FKID001516,-1
FKID001517,-1
FKID001521,-1
FKID001523,3
FKID001524,2
FKID001525,-1
FKID001526,3
FKID001527,-1
FKID001528,-1
FKID001529,-1
FKID001530,-1
FKID001531,-1
FKID001532,-1
FKID001533,-1
FKID001534,-1
FKID001535,3
FKID001536,-1
FKID001537,-1
FKID001538,3
FKID001539,0
FKID001540,3
FKID001541,3
FKID001542,-1
FKID001543,3
FKID001544,-1
FKID001545,-1
FKID001546,-1
FKID001547,-1
FKID001548,-1
FKID001549,-1
FKID001550,-1
FKID001551,-1
FKID001552,-1
FKID001553,-1
FKID001554,0
FKID001555,-1
FKID001556,3
FKID001557,3
FKID001559,-1
FKID001560,3
FKID001561,-1
FKID001562,-1
FKID001563,3
FKID001564,-1
FKID001565,3
FKID001566,0
FKID001567,0
FKID001573,6
FKID001574,-1
FKID001575,-1
FKID001576,-1
FKID001578,0
FKID001580,0
FKID001581,-1
FKID001582,-1
FKID001583,-1
FKID001585,-1
FKID001586,2
FKID001589,3
FKID001605,2
FKID001606,2
FKID001609,-1
FKID001610,7
FKID001611,-1
FKID001612,-1
FKID001619,-1
FKID001621,4
FKID001622,-1
FKID001623,-1
FKID001625,-1
FKID001626,-1
FKID001629,-1
FKID001630,4
FKID001631,4
FKID001632,4
FKID001633,-1
FKID001634,3
FKID001635,7
FKID001636,7
FKID001638,-1
FKID001640,2
FKID001643,7
FKID001644,2
FKID001646,3
FKID001648,7
FKID001649,7
FKID001650,7
FKID001651,-1
FKID001658,-1
FKID001659,2
FKID001664,-1
FKID001666,2
FKID001669,-1
FKID001674,3
FKID001675,2
FKID001680,-1
FKID001682,-1
FKID001683,-1
FKID001684,-1
FKID001692,-1
FKID001697,2
FKID001699,2
FKID001701,2
FKID001706,2
FKID001708,2
FKID001710,2
FKID001720,2
FKID001721,2
FKID001722,2
FKID001726,2
FKID001727,-1
FKID001728,2
FKID001729,7
FKID001734,0
FKID001738,-1
FKID001739,2
FKID001745,2
FKID001746,-1
FKID001747,-1
FKID001749,2
FKID001751,-1
FKID001753,-1
FKID001754,2
FKID001756,-1
FKID001757,-1
FKID001760,-1
FKID001761,-1
FKID001763,-1
FKID001765,2
FKID001767,-1
FKID001772,-1
FKID001773,-1
FKID001774,-1
FKID001776,-1
FKID001777,-1
FKID001778,-1
FKID001779,-1
FKID001780,-1
FKID001781,-1
FKID001782,2
FKID001783,2
FKID001787,-1
FKID001794,2
FKID001796,2
FKID001798,2
FKID001800,2
FKID001803,-1
FKID001804,-1
FKID001805,2
FKID001806,2
FKID001807,-1
FKID001808,6
FKID001810,-1
FKID001812,-1
FKID001813,3
FKID001814,-1
FKID001815,-1
FKID001817,-1
FKID001818,3
FKID001819,-1
FKID001820,-1
FKID001821,-1
FKID001822,-1
FKID001823,-1
FKID001824,-1
FKID001826,-1
FKID001827,-1
FKID001828,-1
FKID001829,2
FKID001833,-1
FKID001835,6
FKID001836,2
FKID001837,6
FKID001838,2
FKID001839,0
FKID001849,-1
FKID001850,6
FKID001851,-1
FKID001852,-1
FKID001855,-1
FKID001856,-1
FKID001857,-1
FKID001859,-1
FKID001861,2
FKID001862,-1
FKID001863,-1
FKID001864,-1
FKID001869,-1
FKID001872,-1
FKID001873,-1
FKID001874,-1
FKID001875,-1
FKID001876,-1
FKID001877,-1
FKID001878,-1
FKID001881,0
FKID001882,5
FKID001883,2
FKID001885,-1
FKID001888,-1
FKID001890,-1
FKID001893,-1
FKID001895,-1
FKID001897,-1
FKID001898,-1
FKID001900,-1
FKID001901,-1
FKID001905,-1
FKID001908,2
FKID001911,2
FKID001915,-1
FKID001916,-1
FKID001917,-1
FKID001918,-1
FKID001919,-1
FKID001920,-1
FKID001921,-1
FKID001922,0
FKID001923,-1
FKID001925,-1
FKID001926,-1
FKID001927,0
FKID001928,-1
FKID001933,4
FKID001934,4
FKID001935,4
FKID001936,4
FKID001937,4
FKID001938,-1
FKID001939,-1
FKID001940,-1
FKID001943,-1
FKID001944,2
FKID001946,-1
FKID001947,-1
FKID001948,-1
FKID001949,-1
FKID001951,-1
FKID001952,4
FKID001953,-1
FKID001954,4
FKID001955,-1
FKID001957,-1
FKID001958,2
FKID001959,4
FKID001961,5
FKID001962,2
FKID001963,-1
FKID001965,4
FKID001967,-1
FKID001970,-1
FKID001971,-1
FKID001972,-1
FKID001973,-1
FKID001974,-1
FKID001976,-1
FKID001977,-1
FKID001979,-1
FKID001980,-1
FKID001981,-1
FKID001982,-1
FKID001985,2
FKID001986,-1
FKID001987,2
FKID001988,-1
FKID002000,-1
FKID002006,2
FKID002007,2
FKID002008,-1
FKID002011,4
FKID002012,4
FKID002019,3
FKID002029,-1
FKID002031,4
FKID002032,4
FKID002034,3
FKID002036,4
FKID002038,-1
FKID002041,-1
FKID002043,-1
FKID002044,-1
FKID002045,2
FKID002053,3
FKID002054,-1
FKID002055,3
FKID002056,3
FKID002057,3
FKID002058,3
FKID002059,3
FKID002060,-1
FKID002061,-1
FKID002064,-1
FKID002065,-1
FKID002066,-1
FKID002069,-1
FKID002070,7
FKID002071,-1
FKID002072,0
FKID002073,-1
FKID002074,0
FKID002075,0
FKID002076,-1
FKID002079,-1
FKID002080,-1
FKID002083,-1
FKID002085,-1
FKID002086,-1
FKID002087,-1
FKID002091,-1
FKID002092,1
FKID002095,4
FKID002102,2
FKID002103,4
FKID002106,-1
FKID002107,-1
FKID002108,-1
FKID002115,-1
FKID002117,3
FKID002119,4
FKID002120,-1
FKID002121,4
FKID002125,-1
FKID002126,-1
FKID002127,-1
FKID002128,-1
FKID002129,-1
FKID002130,-1
FKID002131,-1
FKID002132,-1
FKID002135,-1
FKID002136,-1
FKID002137,-1
FKID002138,-1
FKID002139,-1
FKID002147,-1
FKID002148,-1
FKID002152,2
FKID002155,-1
FKID002164,-1
FKID002168,-1
FKID002169,6
FKID002183,-1
FKID002185,-1
FKID002190,2
FKID002197,-1
FKID002200,-1
FKID002201,2
FKID002202,-1
FKID002203,-1
FKID002204,-1
FKID002205,2
FKID002206,-1
FKID002207,2
FKID002208,2
FKID002209,-1
FKID002211,-1
FKID002212,-1
FKID002213,-1
FKID002214,-1
FKID002215,-1
FKID002216,-1
FKID002218,-1
FKID002225,-1
FKID002226,-1
FKID002228,-1
FKID002235,-1
FKID002236,5
FKID002237,-1
FKID002240,-1
FKID002241,2
FKID002246,0
FKID002247,-1
FKID002251,2
FKID002258,2
FKID002263,0
FKID002266,-1
FKID002268,-1
FKID002270,3
FKID002271,3
FKID002275,-1
FKID002278,-1
FKID002279,-1
FKID002280,2
FKID002281,4
FKID002285,4
FKID002286,-1
FKID002288,2
FKID002289,2
FKID002291,-1
FKID002293,-1
FKID002296,3
FKID002298,-1
FKID002309,-1
FKID002310,-1
FKID002311,-1
FKID002312,-1
FKID002313,5
FKID002314,2
FKID002315,1
FKID002316,-1
FKID002317,2
FKID002318,-1
FKID002319,-1
FKID002320,-1
FKID002330,-1
FKID002331,-1
FKID002332,-1
FKID002333,-1
FKID002334,-1
FKID002335,-1
FKID002336,-1
FKID002337,0
FKID002338,-1
FKID002339,-1
FKID002340,-1
FKID002341,-1
FKID002342,0
FKID002345,2
FKID002346,2
FKID002347,2
FKID002348,2
FKID002350,2
FKID002351,2
FKID002352,2
FKID002353,2
FKID002354,2
FKID002355,5
FKID002356,-1
FKID002357,-1
FKID002358,-1
FKID002359,2
FKID002361,7
FKID002374,-1
FKID002375,-1
FKID002376,-1
FKID002377,-1
FKID002378,-1
FKID002379,-1
FKID002380,-1
FKID002381,-1
FKID002382,-1
FKID002384,-1
FKID002385,-1
FKID002386,-1
FKID002387,-1
FKID002388,-1
FKID002389,-1
FKID002392,-1
FKID002393,-1
FKID002395,-1
FKID002397,-1
FKID002398,-1
FKID002400,-1
FKID002402,-1
FKID002403,-1
FKID002408,-1
FKID002418,-1
FKID002421,1
FKID002422,-1
FKID002423,-1
FKID002424,-1
FKID002425,-1
FKID002426,-1
FKID002427,-1
FKID002428,-1
FKID002429,-1
FKID002431,-1
FKID002432,-1
FKID002433,-1
FKID002435,-1
FKID002437,-1
FKID002438,-1
FKID002439,-1
FKID002440,-1
FKID002441,-1
FKID002442,-1
FKID002443,-1
FKID002448,-1
FKID002463,-1
FKID002474,-1
FKID002475,2
FKID002476,-1
FKID002477,-1
FKID002478,-1
FKID002479,-1
FKID002480,-1
FKID002481,-1
FKID002482,-1
FKID002483,-1
FKID002484,-1
FKID002485,-1
FKID002489,4
FKID002491,-1
FKID002493,4
FKID002494,0
FKID002506,-1
FKID002508,-1
FKID002509,0
FKID002510,-1
FKID002512,-1
FKID002513,-1
FKID002514,6
FKID002518,-1
FKID002519,-1
FKID002520,6
FKID002531,-1
FKID002533,2
FKID002536,-1
FKID002538,-1
FKID002539,-1
FKID002540,-1
FKID002547,-1
FKID002548,-1
FKID002551,-1
FKID002553,-1
FKID002558,-1
FKID002560,2
FKID002568,2
FKID002570,2
FKID002571,2
FKID002572,2
FKID002573,2
FKID002577,1
FKID002578,7
FKID002579,5
FKID002582,6
FKID002590,2
FKID002595,4
FKID002596,2
FKID002609,-1
FKID002616,-1
FKID002619,-1
FKID002621,-1
FKID002625,2
FKID002626,-1
FKID002628,-1
FKID002629,-1
FKID002631,-1
FKID002632,-1
FKID002633,-1
FKID002634,-1
FKID002638,-1
FKID002639,-1
FKID002645,-1
FKID002646,-1
FKID002648,-1
FKID002650,2
FKID002654,3
FKID002658,3
FKID002668,5
FKID002674,-1
FKID002678,-1
FKID002684,0
FKID002685,3
FKID002687,3
FKID002693,-1
FKID002694,-1
FKID002696,-1
FKID002697,6
FKID002698,0
FKID002699,3
FKID002700,0
FKID002701,-1
FKID002702,3
FKID002703,-1
FKID002704,0
FKID002705,3
FKID002706,2
FKID002709,0
FKID002710,-1
FKID002711,-1
FKID002713,3
FKID002718,0
FKID002719,3
FKID002727,-1
FKID002728,-1
FKID002729,-1
FKID002732,-1
FKID002738,6
FKID002739,2
FKID002749,-1
FKID002751,-1
FKID002753,-1
FKID002760,-1
FKID002761,-1
FKID002765,-1
FKID002769,-1
FKID002770,-1
FKID002772,-1
FKID002773,-1
FKID002775,-1
FKID002779,3
FKID002781,-1
FKID002783,-1
FKID002785,2
FKID002786,-1
FKID002790,0
FKID002791,2
FKID002794,-1
FKID002795,-1
FKID002796,-1
FKID002799,-1
FKID002800,2
FKID002803,-1
FKID002804,-1
FKID002806,-1
FKID002809,-1
FKID002813,-1
FKID002814,-1
FKID002817,-1
FKID002821,-1
FKID002822,2
FKID002824,-1
FKID002826,1
FKID002827,1
FKID002828,-1
FKID002830,2
FKID002831,2
FKID002833,-1
FKID002836,2
FKID002837,2
FKID002838,-1
FKID002841,-1
FKID002844,5
FKID002847,-1
FKID002849,2
FKID002850,5
FKID002851,-1
FKID002852,-1
FKID002853,1
FKID002854,-1
FKID002855,-1
FKID002856,2
FKID002857,3
FKID002858,2
FKID002859,3
FKID002860,3
FKID002861,2
FKID002866,5
FKID002867,5
FKID002868,2
FKID002869,-1
FKID002870,3
FKID002871,3
FKID002872,3
FKID002874,-1
FKID002876,6
FKID002877,-1
FKID002878,-1
FKID002879,-1
FKID002880,-1
FKID002881,2
FKID002882,2
FKID002883,-1
FKID002884,-1
FKID002886,2
FKID002887,-1
FKID002892,2
FKID002894,2
FKID002895,2
FKID002896,2
FKID002897,6
FKID002899,2
FKID002900,2
FKID002903,6
FKID002909,6
FKID002910,2
FKID002911,6
FKID002913,6
FKID002915,6
FKID002917,6
FKID002918,2
FKID002919,-1
FKID002920,2
FKID002921,-1
FKID002922,6
FKID002925,6
FKID002926,6
FKID002927,-1
FKID002928,2
FKID002929,2
FKID002930,6
FKID002932,6
FKID002937,-1
FKID002940,-1
FKID002943,6
FKID002944,6
FKID002954,6
FKID002955,-1
FKID002958,-1
FKID002959,-1
FKID002965,4
FKID002970,-1
FKID002973,-1
FKID002974,4
FKID002984,-1
FKID002990,-1
FKID002993,7
FKID002994,2
FKID002995,-1
FKID002997,-1
FKID002998,2
FKID003001,2
FKID003002,-1
FKID003003,-1
FKID003004,-1
FKID003005,-1
FKID003007,-1
FKID003008,2
FKID003011,-1
FKID003012,-1
FKID003013,-1
FKID003014,-1
FKID003015,-1
FKID003016,-1
FKID003017,-1
FKID003018,-1
FKID003019,2
FKID003020,2
FKID003021,2
FKID003023,2
FKID003024,2
FKID003026,3
FKID003027,3
FKID003028,2
FKID003030,3
FKID003031,-1
FKID003032,3
FKID003033,3
FKID003034,3
FKID003035,2
FKID003036,3
FKID003037,-1
FKID003041,-1
FKID003045,2
FKID003051,3
FKID003052,3
FKID003055,-1
FKID003056,-1
FKID003057,2
FKID003061,-1
FKID003062,-1
FKID003063,-1
FKID003064,2
FKID003066,-1
FKID003067,-1
FKID003072,-1
FKID003076,-1
FKID003077,2
FKID003084,2
FKID003085,-1
FKID003088,7
FKID003090,-1
FKID003091,2
FKID003092,-1
FKID003093,-1
FKID003095,-1
FKID003096,-1
FKID003097,-1
FKID003098,-1
FKID003099,-1
FKID003101,3
FKID003102,3
FKID003103,2
FKID003105,3
FKID003107,-1
FKID003109,7
FKID003113,7
FKID003114,-1
FKID003116,3
FKID003119,-1
FKID003120,0
FKID003125,-1
FKID003126,3
FKID003127,3
FKID003128,2
FKID003129,3
FKID003132,3
FKID003133,-1
FKID003135,6
FKID003139,-1
FKID003140,-1
FKID003141,-1
FKID003142,-1
FKID003143,-1
FKID003151,3
FKID003155,-1
FKID003158,0
FKID003161,-1
FKID003164,3
FKID003167,3
FKID003168,3
FKID003170,3
FKID003173,3
FKID003174,3
FKID003175,3
FKID003176,3
FKID003177,3
FKID003178,3
FKID003179,3
FKID003180,3
FKID003181,3
FKID003182,-1
FKID003185,2
FKID003186,2
FKID003187,-1
FKID003188,2
FKID003189,-1
FKID003196,2
FKID003197,-1
FKID003201,2
FKID003202,3
FKID003205,-1
FKID003206,-1
FKID003207,3
FKID003210,2
FKID003218,-1
FKID003220,3
FKID003221,3
FKID003222,3
